dmu_id,Area,Productivity,Production,operation_category,operation,equipment,repetitions,total_area_worked,area_per_tonne,year,month,day
C1_2022,45.92,4.43,203.43,soil_operation,disk_harrow x3,disk_harrow,3,137.76,0.677,2022,4,6
C1_2022,45.92,4.43,203.43,soil_operation,fertiliser_integration,rotary_tiller,1,45.92,0.226,2022,4,28
C1_2022,45.92,4.43,203.43,soil_operation,levelling,laser_leveler,1,45.92,0.226,2022,4,28
C1_2022,45.92,4.43,203.43,harvest,colheita,combine_harvester,1,45.92,0.226,2022,10,11
C1_2022,45.92,4.43,203.43,basal_fertilisation,adubação fundo,centrifugal_spreader,1,45.92,0.226,2022,4,25
C1_2022,45.92,4.43,203.43,topdressing,adubação cobertura,centrifugal_spreader,1,45.92,0.226,2022,5,7
C1_2022,45.92,4.43,203.43,topdressing,adubação cobertura,centrifugal_spreader,1,45.92,0.226,2022,7,20
C1_2022,15.48,4.49,69.55,crop_protection,fungicide,sprayer,1,15.48,0.223,2022,5,25
C1_2022,1.50,3.48,5.22,crop_protection,fungicide,sprayer,1,1.50,0.287,2022,5,25
C1_2022,18.30,4.44,81.22,crop_protection,fungicide,sprayer,1,18.30,0.225,2022,5,25
C1_2022,1.60,3.16,5.06,crop_protection,fungicide,sprayer,1,1.60,0.316,2022,5,25
C1_2022,4.30,5.18,22.26,crop_protection,fungicide,sprayer,1,4.30,0.193,2022,5,25
C1_2022,15.48,4.49,69.55,crop_protection,herbicide,sprayer,1,15.48,0.223,2022,5,25
C1_2022,15.48,4.49,69.55,crop_protection,herbicide,sprayer,1,15.48,0.223,2022,5,25
C1_2022,15.48,4.49,69.55,crop_protection,herbicide,sprayer,1,15.48,0.223,2022,5,25
C1_2022,15.48,4.49,69.55,crop_protection,herbicide,sprayer,1,15.48,0.223,2022,5,25
C1_2022,1.50,3.48,5.22,crop_protection,herbicide,sprayer,1,1.50,0.287,2022,5,25
C1_2022,1.50,3.48,5.22,crop_protection,herbicide,sprayer,1,1.50,0.287,2022,5,25
C1_2022,1.50,3.48,5.22,crop_protection,herbicide,sprayer,1,1.50,0.287,2022,5,25
C1_2022,18.30,4.44,81.22,crop_protection,herbicide,sprayer,1,18.30,0.225,2022,5,25
C1_2022,18.30,4.44,81.22,crop_protection,herbicide,sprayer,1,18.30,0.225,2022,5,25
C1_2022,18.30,4.44,81.22,crop_protection,herbicide,sprayer,1,18.30,0.225,2022,5,25
C1_2022,18.30,4.44,81.22,crop_protection,herbicide,sprayer,1,18.30,0.225,2022,5,25
C1_2022,1.60,3.16,5.06,crop_protection,herbicide,sprayer,1,1.60,0.316,2022,5,25
C1_2022,1.60,3.16,5.06,crop_protection,herbicide,sprayer,1,1.60,0.316,2022,5,25
C1_2022,1.60,3.16,5.06,crop_protection,herbicide,sprayer,1,1.60,0.316,2022,5,25
C1_2022,4.30,5.18,22.26,crop_protection,herbicide,sprayer,1,4.30,0.193,2022,5,25
C1_2022,4.30,5.18,22.26,crop_protection,herbicide,sprayer,1,4.30,0.193,2022,5,25
C1_2022,4.74,4.29,20.35,crop_protection,herbicide,sprayer,1,4.74,0.233,2022,6,6
C1_2022,15.48,4.49,69.55,crop_protection,pesticide,sprayer,1,15.48,0.223,2022,6,30
C1_2022,18.30,4.44,81.22,crop_protection,pesticide,sprayer,1,18.30,0.225,2022,6,30
C1_2022,4.30,5.18,22.26,crop_protection,pesticide,sprayer,1,4.30,0.193,2022,6,30
C1_2022,15.48,4.49,69.55,sowing,sementeira,centrifugal_spreader,1,15.48,0.223,2022,5,24
C1_2022,1.50,3.48,5.22,sowing,sementeira,centrifugal_spreader,1,1.50,0.287,2022,5,24
C1_2022,18.30,4.44,81.22,sowing,sementeira,centrifugal_spreader,1,18.30,0.225,2022,5,24
C1_2022,1.60,3.16,5.06,sowing,sementeira,centrifugal_spreader,1,1.60,0.316,2022,5,24
C1_2022,4.30,5.18,22.26,sowing,sementeira,centrifugal_spreader,1,4.30,0.193,2022,5,24
C1_2022,4.74,4.29,20.35,sowing,sementeira,centrifugal_spreader,1,4.74,0.233,2022,5,24
C1_2023,45.51,4.54,206.62,soil_operation,disk_harrow x3,disk_harrow,3,136.53,0.661,2023,5,1
C1_2023,45.51,4.54,206.62,soil_operation,fertiliser_integration,rotary_tiller,1,45.51,0.220,2023,5,15
C1_2023,45.51,4.54,206.62,soil_operation,levelling,laser_leveler,1,45.51,0.220,2023,8,5
C1_2023,45.51,4.54,206.62,harvest,colheita,combine_harvester,1,45.51,0.220,2023,10,12
C1_2023,45.51,4.54,206.62,basal_fertilisation,adubação fundo,centrifugal_spreader,1,45.51,0.220,2023,5,15
C1_2023,45.51,4.54,206.62,topdressing,adubação cobertura,centrifugal_spreader,1,45.51,0.220,2023,7,25
C1_2023,28.40,4.37,124.22,crop_protection,herbicide,sprayer,1,28.40,0.229,2023,5,7
C1_2023,4.01,2.16,8.66,crop_protection,herbicide,sprayer,1,4.01,0.463,2023,5,7
C1_2023,4.10,5.03,20.63,crop_protection,herbicide,sprayer,1,4.10,0.199,2023,5,7
C1_2023,9.00,5.90,53.08,crop_protection,herbicide,sprayer,1,9.00,0.170,2023,5,7
C1_2023,28.40,4.37,124.22,crop_protection,herbicide,sprayer,1,28.40,0.229,2023,5,31
C1_2023,4.01,2.16,8.66,crop_protection,herbicide,sprayer,1,4.01,0.463,2023,5,31
C1_2023,9.00,5.90,53.08,crop_protection,herbicide,sprayer,1,9.00,0.170,2023,5,31
C1_2023,28.40,4.37,124.22,crop_protection,herbicide,sprayer,1,28.40,0.229,2023,5,31
C1_2023,4.01,2.16,8.66,crop_protection,herbicide,sprayer,1,4.01,0.463,2023,5,31
C1_2023,9.00,5.90,53.08,crop_protection,herbicide,sprayer,1,9.00,0.170,2023,5,31
C1_2023,28.40,4.37,124.22,crop_protection,herbicide,sprayer,1,28.40,0.229,2023,5,31
C1_2023,4.01,2.16,8.66,crop_protection,herbicide,sprayer,1,4.01,0.463,2023,5,31
C1_2023,9.00,5.90,53.08,crop_protection,herbicide,sprayer,1,9.00,0.170,2023,5,31
C1_2023,28.40,4.37,124.22,crop_protection,herbicide,sprayer,1,28.40,0.229,2023,5,31
C1_2023,9.00,5.90,53.08,crop_protection,herbicide,sprayer,1,9.00,0.170,2023,5,31
C1_2023,9.00,5.90,53.08,crop_protection,herbicide,sprayer,1,9.00,0.170,2023,5,31
C1_2023,4.10,5.03,20.63,crop_protection,herbicide,sprayer,1,4.10,0.199,2023,6,6
C1_2023,4.10,5.03,20.63,crop_protection,herbicide,sprayer,1,4.10,0.199,2023,6,6
C1_2023,4.10,5.03,20.63,crop_protection,herbicide,sprayer,1,4.10,0.199,2023,6,20
C1_2023,4.10,5.03,20.63,crop_protection,herbicide,sprayer,1,4.10,0.199,2023,6,20
C1_2023,28.40,4.37,124.22,crop_protection,pesticide,sprayer,1,28.40,0.229,2023,8,4
C1_2023,28.40,4.00,113.60,sowing,sementeira,centrifugal_spreader,1,28.40,0.250,2023,5,25
C1_2023,4.01,2.16,8.66,sowing,sementeira,centrifugal_spreader,1,4.01,0.463,2023,5,25
C1_2023,4.10,5.00,20.50,sowing,sementeira,centrifugal_spreader,1,4.10,0.200,2023,5,25
C1_2023,9.00,6.00,54.00,sowing,sementeira,centrifugal_spreader,1,9.00,0.167,2023,5,25
C1_2024,45.51,4.78,217.54,soil_operation,disk_harrow x3,disk_harrow,3,136.53,0.628,2024,5,1
C1_2024,45.51,4.78,217.54,soil_operation,disk_harrow x3,disk_harrow,3,136.53,0.628,2024,5,12
C1_2024,45.51,4.78,217.54,soil_operation,fertiliser_integration,rotary_tiller,1,45.51,0.209,2024,5,15
C1_2024,45.51,4.78,217.54,soil_operation,levelling,laser_leveler,1,45.51,0.209,2024,8,5
C1_2024,45.51,4.78,217.54,harvest,colheita,combine_harvester,1,45.51,0.209,2024,10,30
C1_2024,45.51,4.78,217.54,basal_fertilisation,adubação fundo,centrifugal_spreader,1,45.51,0.209,2024,5,15
C1_2024,45.51,4.78,217.54,topdressing,adubação cobertura,centrifugal_spreader,1,45.51,0.209,2024,7,25
C1_2024,14.21,1.57,22.27,crop_protection,herbicide,sprayer,1,14.21,0.638,2024,5,31
C1_2024,8.42,1.46,12.29,crop_protection,herbicide,sprayer,1,8.42,0.685,2024,5,31
C1_2024,14.21,1.57,22.27,crop_protection,herbicide,sprayer,1,14.21,0.638,2024,5,31
C1_2024,8.42,1.46,12.29,crop_protection,herbicide,sprayer,1,8.42,0.685,2024,5,31
C1_2024,6.31,5.77,36.42,crop_protection,herbicide,sprayer,1,6.31,0.173,2024,5,31
C1_2024,11.84,8.92,105.62,crop_protection,herbicide,sprayer,1,11.84,0.112,2024,5,31
C1_2024,4.73,8.64,40.89,crop_protection,herbicide,sprayer,1,4.73,0.116,2024,5,31
C1_2024,6.31,5.77,36.42,crop_protection,herbicide,sprayer,1,6.31,0.173,2024,5,31
C1_2024,11.84,8.92,105.62,crop_protection,herbicide,sprayer,1,11.84,0.112,2024,5,31
C1_2024,4.73,8.64,40.89,crop_protection,herbicide,sprayer,1,4.73,0.116,2024,5,31
C1_2024,6.31,5.77,36.42,crop_protection,herbicide,sprayer,1,6.31,0.173,2024,6,6
C1_2024,11.84,8.92,105.62,crop_protection,herbicide,sprayer,1,11.84,0.112,2024,6,6
C1_2024,4.73,8.64,40.89,crop_protection,herbicide,sprayer,1,4.73,0.116,2024,6,6
C1_2024,6.31,5.77,36.42,crop_protection,herbicide,sprayer,1,6.31,0.173,2024,6,6
C1_2024,11.84,8.92,105.62,crop_protection,herbicide,sprayer,1,11.84,0.112,2024,6,6
C1_2024,4.73,8.64,40.89,crop_protection,herbicide,sprayer,1,4.73,0.116,2024,6,6
C1_2024,6.31,5.77,36.42,crop_protection,herbicide,sprayer,1,6.31,0.173,2024,6,6
C1_2024,11.84,8.92,105.62,crop_protection,herbicide,sprayer,1,11.84,0.112,2024,6,6
C1_2024,4.73,8.64,40.89,crop_protection,herbicide,sprayer,1,4.73,0.116,2024,6,6
C1_2024,6.31,5.77,36.42,crop_protection,herbicide,sprayer,1,6.31,0.173,2024,6,20
C1_2024,11.84,8.92,105.62,crop_protection,herbicide,sprayer,1,11.84,0.112,2024,6,20
C1_2024,4.73,8.64,40.89,crop_protection,herbicide,sprayer,1,4.73,0.116,2024,6,20
C1_2024,6.31,5.77,36.42,crop_protection,herbicide,sprayer,1,6.31,0.173,2024,6,20
C1_2024,11.84,8.92,105.62,crop_protection,herbicide,sprayer,1,11.84,0.112,2024,6,20
C1_2024,4.73,8.64,40.89,crop_protection,herbicide,sprayer,1,4.73,0.116,2024,6,20
C1_2024,6.31,5.77,36.42,crop_protection,herbicide,sprayer,1,6.31,0.173,2024,6,20
C1_2024,11.84,8.92,105.62,crop_protection,herbicide,sprayer,1,11.84,0.112,2024,6,20
C1_2024,4.73,8.64,40.89,crop_protection,herbicide,sprayer,1,4.73,0.116,2024,6,20
C1_2024,14.21,1.57,22.27,crop_protection,fungicide,sprayer,1,14.21,0.638,2024,7,2
C1_2024,6.31,6.00,37.86,sowing,sementeira,centrifugal_spreader,1,6.31,0.167,2024,5,25
C1_2024,14.21,2.00,28.42,sowing,sementeira,centrifugal_spreader,1,14.21,0.500,2024,5,25
C1_2024,8.42,1.46,12.29,sowing,sementeira,centrifugal_spreader,1,8.42,0.685,2024,5,25
C1_2024,11.84,9.00,106.56,sowing,sementeira,centrifugal_spreader,1,11.84,0.111,2024,5,25
C1_2024,4.73,9.00,42.57,sowing,sementeira,centrifugal_spreader,1,4.73,0.111,2024,5,25
C2_2022,111.38,6.91,769.64,soil_operation,scarifier,disk_harrow,1,111.38,0.145,2022,4,15
C2_2022,111.38,6.91,769.64,soil_operation,scarifier,disk_harrow,1,111.38,0.145,2022,4,20
C2_2022,111.38,6.91,769.64,soil_operation,levelling,laser_leveler,1,111.38,0.145,2022,4,28
C2_2022,111.38,6.91,769.64,soil_operation,fertiliser_integration,rotary_tiller,1,111.38,0.145,2022,5,10
C2_2022,111.38,6.91,769.64,harvest,colheita,combine_harvester,1,111.38,0.145,2022,5,11
C2_2022,111.38,6.91,769.64,basal_fertilisation,adubação fundo,centrifugal_spreader,1,111.38,0.145,2022,5,10
C2_2022,111.38,6.91,769.64,topdressing,adubação cobertura,centrifugal_spreader,1,111.38,0.145,2022,6,25
C2_2022,34.06,5.46,185.97,crop_protection,herbicide,sprayer,1,34.06,0.183,2022,4,5
C2_2022,75.37,7.70,580.35,crop_protection,herbicide,sprayer,1,75.37,0.130,2022,4,5
C2_2022,1.95,5.93,11.56,crop_protection,herbicide,sprayer,1,1.95,0.169,2022,4,5
C2_2022,34.06,5.46,185.97,crop_protection,herbicide,sprayer,1,34.06,0.183,2022,6,5
C2_2022,75.37,7.70,580.35,crop_protection,herbicide,sprayer,1,75.37,0.130,2022,6,5
C2_2022,1.95,5.93,11.56,crop_protection,herbicide,sprayer,1,1.95,0.169,2022,6,5
C2_2022,34.06,5.46,185.97,crop_protection,herbicide,sprayer,1,34.06,0.183,2022,6,5
C2_2022,75.37,7.70,580.35,crop_protection,herbicide,sprayer,1,75.37,0.130,2022,6,5
C2_2022,1.95,5.93,11.56,crop_protection,herbicide,sprayer,1,1.95,0.169,2022,6,5
C2_2022,34.06,5.46,185.97,crop_protection,herbicide,sprayer,1,34.06,0.183,2022,6,5
C2_2022,75.37,7.70,580.35,crop_protection,herbicide,sprayer,1,75.37,0.130,2022,6,5
C2_2022,1.95,5.93,11.56,crop_protection,herbicide,sprayer,1,1.95,0.169,2022,6,5
C2_2022,5.00,7.70,38.50,crop_protection,herbicide,sprayer,1,5.00,0.130,2022,6,5
C2_2022,20.00,7.70,154.00,crop_protection,pesticide,sprayer,1,20.00,0.130,2022,6,28
C2_2022,34.06,5.46,185.97,sowing,sementeira,centrifugal_spreader,1,34.06,0.183,2022,5,20
C2_2022,75.37,7.70,580.35,sowing,sementeira,centrifugal_spreader,1,75.37,0.130,2022,5,20
C2_2022,1.95,5.93,11.56,sowing,sementeira,centrifugal_spreader,1,1.95,0.169,2022,5,20
C2_2023,115.21,8.71,"1,003.48",soil_operation,disk_harrow x3,disk_harrow,3,345.63,0.344,2023,5,10
C2_2023,115.21,8.71,"1,003.48",soil_operation,fertiliser_integration,rotary_tiller,1,115.21,0.115,2023,5,15
C2_2023,115.21,8.71,"1,003.48",soil_operation,levelling,laser_leveler,1,115.21,0.115,2023,8,5
C2_2023,115.21,8.71,"1,003.48",harvest,colheita,combine_harvester,1,115.21,0.115,2023,10,31
C2_2023,115.21,8.71,"1,003.48",basal_fertilisation,adubação fundo,centrifugal_spreader,1,115.21,0.115,2023,5,15
C2_2023,115.21,8.71,"1,003.48",topdressing,adubação cobertura,centrifugal_spreader,1,45.50,0.045,2023,7,20
C2_2023,115.21,8.71,"1,003.48",topdressing,adubação cobertura,centrifugal_spreader,1,31.49,0.031,2023,7,20
C2_2023,115.21,8.71,"1,003.48",topdressing,adubação cobertura,centrifugal_spreader,1,36.00,0.036,2023,7,20
C2_2023,45.50,13.83,629.13,crop_protection,herbicide,sprayer,1,45.50,0.072,2023,5,15
C2_2023,28.00,13.83,387.16,crop_protection,herbicide,sprayer,1,28.00,0.072,2023,6,12
C2_2023,45.50,13.83,629.13,crop_protection,herbicide,sprayer,1,45.50,0.072,2023,6,12
C2_2023,45.50,13.83,629.13,crop_protection,herbicide,sprayer,1,45.50,0.072,2023,6,12
C2_2023,2.22,6.08,13.49,crop_protection,herbicide,sprayer,1,2.22,0.165,2023,6,16
C2_2023,45.50,13.83,629.13,crop_protection,herbicide,sprayer,1,45.50,0.072,2023,6,16
C2_2023,67.49,5.34,360.53,crop_protection,herbicide,sprayer,1,67.49,0.187,2023,6,16
C2_2023,2.22,6.08,13.49,crop_protection,herbicide,sprayer,1,2.22,0.165,2023,6,16
C2_2023,45.50,13.83,629.13,crop_protection,herbicide,sprayer,1,45.50,0.072,2023,6,16
C2_2023,67.49,5.34,360.53,crop_protection,herbicide,sprayer,1,67.49,0.187,2023,6,16
C2_2023,2.22,6.08,13.49,crop_protection,herbicide,sprayer,1,2.22,0.165,2023,6,16
C2_2023,45.50,13.83,629.13,crop_protection,herbicide,sprayer,1,45.50,0.072,2023,6,16
C2_2023,67.49,5.34,360.53,crop_protection,herbicide,sprayer,1,67.49,0.187,2023,6,16
C2_2023,67.49,5.34,360.53,crop_protection,pesticide,sprayer,1,67.49,0.187,2023,8,12
C2_2023,2.22,6.08,13.50,sowing,sementeira,centrifugal_spreader,1,2.22,0.164,2023,6,6
C2_2023,45.50,13.83,629.27,sowing,sementeira,centrifugal_spreader,1,45.50,0.072,2023,6,6
C2_2023,67.49,5.34,360.40,sowing,sementeira,centrifugal_spreader,1,67.49,0.187,2023,6,6
C2_2024,120.72,7.39,892.12,soil_operation,disk_harrow x3,disk_harrow,3,362.16,0.406,2024,5,10
C2_2024,120.72,7.39,892.12,soil_operation,fertiliser_integration,rotary_tiller,1,120.72,0.135,2024,5,15
C2_2024,120.72,7.39,892.12,soil_operation,levelling,laser_leveler,1,120.72,0.135,2024,8,5
C2_2024,120.72,7.39,892.12,harvest,colheita,combine_harvester,1,120.72,0.135,2024,9,30
C2_2024,120.72,7.39,892.12,basal_fertilisation,adubação fundo,centrifugal_spreader,1,84.00,0.094,2024,5,15
C2_2024,120.72,7.39,892.12,basal_fertilisation,adubação fundo,centrifugal_spreader,1,36.72,0.041,2024,5,15
C2_2024,120.72,7.39,892.12,topdressing,adubação cobertura,centrifugal_spreader,1,14.00,0.016,2024,7,20
C2_2024,120.72,7.39,892.12,topdressing,adubação cobertura,centrifugal_spreader,1,120.00,0.135,2024,7,20
C2_2024,15.62,7.39,115.43,crop_protection,herbicide,sprayer,1,15.62,0.135,2024,6,12
C2_2024,4.40,7.39,32.52,crop_protection,herbicide,sprayer,1,4.40,0.135,2024,6,12
C2_2024,90.70,7.39,670.27,crop_protection,herbicide,sprayer,1,90.70,0.135,2024,6,12
C2_2024,2.50,7.39,18.48,crop_protection,herbicide,sprayer,1,2.50,0.135,2024,6,12
C2_2024,15.62,7.39,115.43,crop_protection,herbicide,sprayer,1,15.62,0.135,2024,6,12
C2_2024,4.40,7.39,32.52,crop_protection,herbicide,sprayer,1,4.40,0.135,2024,6,12
C2_2024,90.70,7.39,670.27,crop_protection,herbicide,sprayer,1,90.70,0.135,2024,6,12
C2_2024,2.50,7.39,18.48,crop_protection,herbicide,sprayer,1,2.50,0.135,2024,6,12
C2_2024,15.62,7.39,115.43,crop_protection,herbicide,sprayer,1,15.62,0.135,2024,6,12
C2_2024,4.40,7.39,32.52,crop_protection,herbicide,sprayer,1,4.40,0.135,2024,6,12
C2_2024,90.70,7.39,670.27,crop_protection,herbicide,sprayer,1,90.70,0.135,2024,6,12
C2_2024,2.50,7.39,18.48,crop_protection,herbicide,sprayer,1,2.50,0.135,2024,6,12
C2_2024,7.50,7.39,55.43,crop_protection,herbicide,sprayer,1,7.50,0.135,2024,6,16
C2_2024,7.50,7.39,55.43,crop_protection,herbicide,sprayer,1,7.50,0.135,2024,6,16
C2_2024,7.50,7.39,55.43,crop_protection,herbicide,sprayer,1,7.50,0.135,2024,6,16
C2_2024,7.50,7.39,55.43,crop_protection,herbicide,sprayer,1,7.50,0.135,2024,7,3
C2_2024,7.50,7.39,55.43,crop_protection,herbicide,sprayer,1,7.50,0.135,2024,7,3
C2_2024,7.50,7.39,55.43,crop_protection,herbicide,sprayer,1,7.50,0.135,2024,7,3
C2_2024,7.50,7.39,55.43,sowing,sementeira,centrifugal_spreader,1,7.50,0.135,2024,6,6
C2_2024,15.62,7.39,115.43,sowing,sementeira,centrifugal_spreader,1,15.62,0.135,2024,6,6
C2_2024,4.40,7.39,32.52,sowing,sementeira,centrifugal_spreader,1,4.40,0.135,2024,6,6
C2_2024,90.70,7.39,670.27,sowing,sementeira,centrifugal_spreader,1,90.70,0.135,2024,6,6
C2_2024,2.50,7.39,18.48,sowing,sementeira,centrifugal_spreader,1,2.50,0.135,2024,6,6
C3_2022,114.54,4.77,546.36,soil_operation,disk_harrow x3,disk_harrow,3,343.62,0.629,2022,5,5
C3_2022,114.54,4.77,546.36,soil_operation,levelling,laser_leveler,1,114.54,0.210,2022,5,17
C3_2022,114.54,4.77,546.36,soil_operation,fertiliser_integration,rotary_tiller,1,114.54,0.210,2022,5,24
C3_2022,114.54,4.77,546.36,harvest,colheita,combine_harvester,1,114.54,0.210,2022,9,11
C3_2022,114.54,4.77,546.36,basal_fertilisation,adubação fundo,centrifugal_spreader,1,114.54,0.210,2022,5,24
C3_2022,114.54,4.77,546.36,topdressing,adubação cobertura,centrifugal_spreader,1,114.54,0.210,2022,7,10
C3_2022,114.54,4.77,546.36,topdressing,adubação cobertura,centrifugal_spreader,1,114.54,0.210,2022,7,25
C3_2022,26.31,4.99,131.29,crop_protection,herbicide,sprayer,1,26.31,0.200,2022,6,15
C3_2022,36.57,2.36,86.31,crop_protection,herbicide,sprayer,1,36.57,0.424,2022,6,15
C3_2022,27.89,6.36,177.38,crop_protection,herbicide,sprayer,1,27.89,0.157,2022,6,15
C3_2022,23.77,4.26,101.26,crop_protection,herbicide,sprayer,1,23.77,0.235,2022,6,15
C3_2022,26.31,4.99,131.29,crop_protection,herbicide,sprayer,1,26.31,0.200,2022,6,15
C3_2022,36.57,2.36,86.31,crop_protection,herbicide,sprayer,1,36.57,0.424,2022,6,15
C3_2022,27.89,6.36,177.38,crop_protection,herbicide,sprayer,1,27.89,0.157,2022,6,15
C3_2022,23.77,4.26,101.26,crop_protection,herbicide,sprayer,1,23.77,0.235,2022,6,15
C3_2022,26.31,4.99,131.29,crop_protection,herbicide,sprayer,1,26.31,0.200,2022,6,15
C3_2022,36.57,2.36,86.31,crop_protection,herbicide,sprayer,1,36.57,0.424,2022,6,15
C3_2022,27.89,6.36,177.38,crop_protection,herbicide,sprayer,1,27.89,0.157,2022,6,15
C3_2022,23.77,4.26,101.26,crop_protection,herbicide,sprayer,1,23.77,0.235,2022,6,15
C3_2022,4.60,4.99,22.95,crop_protection,herbicide,sprayer,1,4.60,0.200,2022,6,22
C3_2022,6.40,2.36,15.10,crop_protection,herbicide,sprayer,1,6.40,0.424,2022,6,22
C3_2022,4.90,6.36,31.16,crop_protection,herbicide,sprayer,1,4.90,0.157,2022,6,22
C3_2022,4.10,4.26,17.47,crop_protection,herbicide,sprayer,1,4.10,0.235,2022,6,22
C3_2022,1.80,4.99,8.98,crop_protection,herbicide,sprayer,1,1.80,0.200,2022,6,22
C3_2022,2.60,2.36,6.14,crop_protection,herbicide,sprayer,1,2.60,0.424,2022,6,22
C3_2022,1.90,6.36,12.08,crop_protection,herbicide,sprayer,1,1.90,0.157,2022,6,22
C3_2022,1.70,4.26,7.24,crop_protection,herbicide,sprayer,1,1.70,0.235,2022,6,22
C3_2022,6.90,4.99,34.43,crop_protection,herbicide,sprayer,1,6.90,0.200,2022,7,1
C3_2022,9.60,2.36,22.66,crop_protection,herbicide,sprayer,1,9.60,0.424,2022,7,1
C3_2022,7.30,6.36,46.43,crop_protection,herbicide,sprayer,1,7.30,0.157,2022,7,1
C3_2022,6.20,4.26,26.41,crop_protection,herbicide,sprayer,1,6.20,0.235,2022,7,1
C3_2022,26.31,4.99,131.29,crop_protection,herbicide,sprayer,1,26.31,0.200,2022,7,1
C3_2022,36.57,2.36,86.31,crop_protection,herbicide,sprayer,1,36.57,0.424,2022,7,1
C3_2022,27.89,6.36,177.38,crop_protection,herbicide,sprayer,1,27.89,0.157,2022,7,1
C3_2022,23.77,4.26,101.26,crop_protection,herbicide,sprayer,1,23.77,0.235,2022,7,1
C3_2022,26.31,4.99,131.29,sowing,sementeira,centrifugal_spreader,1,26.31,0.200,2022,5,28
C3_2022,36.57,2.36,86.31,sowing,sementeira,centrifugal_spreader,1,36.57,0.424,2022,5,28
C3_2022,27.89,6.36,177.38,sowing,sementeira,centrifugal_spreader,1,27.89,0.157,2022,5,28
C3_2022,23.77,4.26,101.26,sowing,sementeira,centrifugal_spreader,1,23.77,0.235,2022,5,28
C3_2023,112.23,5.94,666.65,soil_operation,disk_harrow x3,disk_harrow,3,336.69,0.505,2023,5,10
C3_2023,112.23,5.94,666.65,soil_operation,fertiliser_integration,rotary_tiller,1,112.23,0.168,2023,5,15
C3_2023,112.23,5.94,666.65,soil_operation,levelling,laser_leveler,1,112.23,0.168,2023,8,5
C3_2023,112.23,5.94,666.65,harvest,colheita,combine_harvester,1,112.23,0.168,2024,10,30
C3_2023,112.23,5.94,666.65,basal_fertilisation,adubação fundo,centrifugal_spreader,1,93.60,0.140,2023,5,15
C3_2023,112.23,5.94,666.65,basal_fertilisation,adubação fundo,centrifugal_spreader,1,18.63,0.028,2023,5,15
C3_2023,112.23,5.94,666.65,topdressing,adubação cobertura,centrifugal_spreader,1,112.23,0.168,2023,7,20
C3_2023,4.50,4.07,18.32,crop_protection,herbicide,sprayer,1,4.50,0.246,2023,6,12
C3_2023,4.50,3.88,17.46,crop_protection,herbicide,sprayer,1,4.50,0.258,2023,6,12
C3_2023,38.96,4.07,158.65,crop_protection,herbicide,sprayer,1,38.96,0.246,2023,6,12
C3_2023,38.89,3.88,150.93,crop_protection,herbicide,sprayer,1,38.89,0.258,2023,6,12
C3_2023,34.38,9.61,330.36,crop_protection,herbicide,sprayer,1,34.38,0.104,2023,6,12
C3_2023,38.96,4.07,158.65,crop_protection,herbicide,sprayer,1,38.96,0.246,2023,6,12
C3_2023,38.89,3.88,150.93,crop_protection,herbicide,sprayer,1,38.89,0.258,2023,6,12
C3_2023,34.38,9.61,330.36,crop_protection,herbicide,sprayer,1,34.38,0.104,2023,6,12
C3_2023,38.96,4.07,158.65,crop_protection,herbicide,sprayer,1,38.96,0.246,2023,6,16
C3_2023,38.89,3.88,150.93,crop_protection,herbicide,sprayer,1,38.89,0.258,2023,6,16
C3_2023,34.38,9.61,330.36,crop_protection,herbicide,sprayer,1,34.38,0.104,2023,6,16
