DMU_ID,SUM of area_ha,Productivity (t/ha),Water m3/ha,Water M3/t
C1_2022,45.92,4.43,"11,318.40",2554.944
C1_2023,45.51,4.54,"11,318.40",2493.040
C1_2024,45.51,4.78,"11,318.40",2367.866
C2_2022,111.38,6.91,"11,318.40",1637.974
C2_2023,115.21,8.71,"11,318.40",1299.472
C2_2024,120.72,7.39,"11,318.40",1531.583
C3_2022,114.54,4.77,"11,318.40",2372.830
C3_2023,112.23,5.94,"11,318.40",1905.455
C3_2024,112.23,5.77,"11,318.40",1961.594
C4_2022,25.21,3.62,"11,318.40",3126.630
C4_2023,23.84,4.50,"11,318.40",2515.200
C4_2024,23.87,8.28,"11,318.40",1367.617
C5_2022,35.75,5.99,"11,318.40",1889.549
C5_2023,35.44,6.23,"11,318.40",1816.758
C5_2024,35.44,8.20,"11,318.40",1380.293
C6_2022,73.11,2.15,"11,318.40",5264.372
C6_2023,71.09,2.88,"11,318.40",3930.000
C6_2024,54.22,7.35,"11,318.40",1539.918
C7_2023,37.33,6.65,"11,318.40",1702.015
C7_2024,37.35,4.99,"11,318.40",2268.216
C8_2022,58.32,5.56,"11,318.40",2035.683
C8_2023,58.04,5.73,"11,318.40",1975.288
C8_2024,59.12,3.95,"11,318.40",2865.418
D1_2022,12.25,1.36,"11,318.40",8322.353
D1_2023,17.99,4.90,"11,318.40",2309.878
D1_2024,24.80,5.68,"11,318.40",1992.676
D2_2022,18.21,1.23,"11,318.40",9201.951
D2_2023,18.22,4.84,"11,318.40",2338.512
D2_2024,18.22,6.77,"11,318.40",1671.846
NT1_2023,14.92,6.49,"11,318.40",1743.975
NT1_2024,37.90,7.11,"11,318.40",1591.899
NT2_2022,20.42,4.10,"11,318.40",2760.585
NT2_2023,20.19,7.31,"11,318.40",1549.192
NT2_2024,20.19,4.77,"11,318.40",2374.822