dmu_id,SUM of area_ha,Productivity (t/ha),C02eq(ch4)_ha,C02eq(ch4)_t
C1_2022,45.92,4.43,17589.30,3970.496224
C1_2023,45.51,4.54,17589.30,3874.294774
C1_2024,45.51,4.78,17589.30,3679.769513
C2_2022,111.38,6.91,17589.30,2545.484555
C2_2023,115.21,8.71,17589.30,2019.43723
C2_2024,120.72,7.39,17589.30,2380.148616
C3_2022,114.54,4.77,17589.30,3687.483914
C3_2023,112.23,5.94,17589.30,2961.161325
C3_2024,112.23,5.77,17589.30,3048.405246
C4_2022,25.21,3.62,17589.30,4858.922175
C4_2023,23.84,4.50,17589.30,3908.732949
C4_2024,23.87,8.28,17589.30,2125.338119
C5_2022,35.75,5.99,17589.30,2936.443785
C5_2023,35.44,6.23,17589.30,2823.322355
C5_2024,35.44,8.20,17589.30,2145.036375
C6_2022,73.11,2.15,17589.30,8181.068964
C6_2023,71.09,2.88,17589.30,6107.395233
C6_2024,54.22,7.35,17589.30,2393.101806
C7_2023,37.33,6.65,17589.30,2645.007259
C7_2024,37.35,4.99,17589.30,3524.909473
C8_2022,58.32,5.56,17589.30,3163.542855
C8_2023,58.04,5.73,17589.30,3069.685562
C8_2024,59.12,3.95,17589.30,4452.986904
D1_2022,12.25,1.36,17589.30,12933.30755
D1_2023,17.99,4.90,17589.30,3589.652709
D1_2024,24.80,5.68,17589.30,3096.707442
D2_2022,18.21,1.23,17589.30,14300.2425
D2_2023,18.22,4.84,17589.30,3634.152536
D2_2024,18.22,6.77,17589.30,2598.123822
NT1_2023,14.92,6.49,17589.30,2710.21545
NT1_2024,37.90,7.11,17589.30,2473.881614
NT2_2022,20.42,4.10,17589.30,4290.072749
NT2_2023,20.19,7.31,17589.30,2407.514135
NT2_2024,20.19,4.77,17589.30,3690.578739