Season;dmu_id;total_mass_kg;total_area;total_prod_t;operations;kg_per_ha;kg_per_t
2022;C1;7115,4;45,92;203,6418;broadcast sowing;154,9520906;34,94076363
2023;C1;9401,7;45,51;196,7616;broadcast sowing;206,5853659;47,78218921
2024;C1;8788,8;45,51;227,7032;broadcast sowing;193,117996;38,59761303
2022;C2;22373,5;111,38;777,8801;broadcast sowing;200,8753816;28,76214471
2023;C2;20737,8;115,21;1003,1592;broadcast sowing;180;20,67249146
2024;C2;19315,2;120,72;892,1208;broadcast sowing;160;21,65087957
2022;C3;21762,6;114,54;496,2327;broadcast sowing;190;43,85563466
2023;C3;18345;112,23;639,8522;broadcast sowing;163,4589682;28,67068364
2024;C3;21489,3;112,23;723,4214;broadcast sowing;191,4755413;29,70509305
2022;C4;5546,2;25,21;91,2602;broadcast sowing;220;60,77348066
2023;C4;4768;23,84;107,3744;broadcast sowing;200;44,40537037
2024;C4;4057,9;23,87;197,4649;broadcast sowing;170;20,54998129
2022;C5;5698,75;35,75;214,045;broadcast sowing;159,4055944;26,62407438
2023;C5;6075,2;35,44;217,4936;broadcast sowing;171,4221219;27,93277595
2024;C5;5472,8;35,44;290,5825;broadcast sowing;154,4243792;18,83389399
2022;C6;14622;73,11;157,1865;broadcast sowing;200;93,02325581
2023;C6;14218;71,09;204,7392;broadcast sowing;200;69,44444444
2024;C6;9759,6;54,22;393,095;broadcast sowing;180;24,82758621
2023;C7;5972,8;37,33;248,2616;broadcast sowing;160;24,05849314
2024;C7;6349,5;37,35;157,786;broadcast sowing;170;40,24121278
2022;C8;11414;58,32;323,9088;broadcast sowing;195,7133059;35,23831399
2023;C8;7545,2;58,04;334,3764;broadcast sowing;130;22,56498963
2024;C8;9459,2;59,12;233,6194;broadcast sowing;160;40,48978809
2022;D1;1470;12,25;16,66;row sowing;120;88,23529412
2023;D1;3957,8;17,99;88,151;broadcast sowing;220;44,89795918
2024;D1;3968;24,8;137,368;broadcast sowing;160;28,88591229
2022;D2;3642;18,21;22,3983;row sowing;200;162,601626
2023;D2;4008,4;18,22;88,1848;broadcast sowing;220;45,45454545
2024;D2;3461,8;18,22;123,3494;broadcast sowing;190;28,06499261
2023;NT1;2984;14,92;96,8308;row sowing;200;30,81664099
2024;NT1;8717;37,9;269,469;row sowing;230;32,3488045
2022;NT2;2756,7;20,42;83,1094;row sowing;135;33,16953317
2023;NT2;3028,5;20,19;147,5889;row sowing;150;20,51983584
2024;NT2;3028,5;20,19;96,3063;row sowing;150;31,44654088